,Zipcode,Address,Median Age,Household Income,Per Capita Income,Lat,Lng,Bank Count
28,99676,"Talkeetna, AK 99676",40,123447,83194,62.4273,-148.7673,55
29,36046,"Lapine, AL 36046",35,181514,54011,31.9923,-86.3354,41
30,61630,"Peoria, IL 61630",46,35839,11384,40.6937,-89.5887,1
31,38675,"Memphis Stc, MS 38675",42,205940,64141,34.2331,-89.3616,80
32,07963,"Morristown, NJ 07963",42,168025,85909,40.7968,-74.4816,10
33,89148,"Las Vegas, NV 89148",36,197139,74467,36.0603,-115.2972,66
34,56641,"Federal Dam, MN 56641",44,184206,69269,47.2062,-94.2546,66
35,68628,"Clarks, NE 68628",44,42296,19865,41.1999,-97.8558,8
36,36043,"Hope Hull, AL 36043",34,198951,80103,32.1865,-86.4364,73
37,64656,"Ludlow, MO 64656",38,153239,97777,39.6554,-93.7002,100
38,65216,"Columbia, MO 65216",43,161039,45656,38.9579,-92.3266,85
39,21161,"White Hall, MD 21161",44,161767,41877,39.6604,-76.5754,18
40,72329,"Driver, AR 72329",35,31723,19477,35.5488,-89.9522,1
41,50521,"Burnside, IA 50521",32,73521,41745,42.3251,-94.0671,93
42,24715,"Bramwell, WV 24715",34,85332,81778,37.3378,-81.3320,38
43,92863,"Orange, CA 92863",44,177197,79696,33.7878,-117.8523,21
44,79770,"Orla, TX 79770",39,96848,48661,31.8285,-103.9136,49
45,13088,"Liverpool, NY 13088",33,40020,16475,43.1070,-76.2019,8
46,24448,"Iron Gate, VA 24448",35,197713,72273,37.7986,-79.7895,82
47,59406,"Great Falls, MT 59406",39,64101,49536,47.5001,-111.3003,2
48,95903,"Beale AFB, CA 95903",38,150107,45254,39.1110,-121.3676,36
49,44085,"Rome, OH 44085",46,177715,59167,41.6110,-80.8611,79
50,59259,"Richey, MT 59259",42,34513,12697,47.6361,-105.0001,2
51,30071,"Norcross, GA 30071",42,188078,65817,33.9451,-84.2121,52
52,63565,"Unionville, MO 63565",39,120736,59444,40.4869,-92.9762,14
53,44837,"Greenwich, OH 44837",34,204340,95857,40.9888,-82.4883,8
54,78748,"Austin, TX 78748",39,208185,98518,30.1640,-97.8226,14
55,06927,"Stamford, CT 06927",38,48075,17845,41.0535,-73.5394,2
56,56738,"Newfolden, MN 56738",46,123209,47840,48.2856,-96.2415,94
57,31119,"Atlanta, GA 31119",43,75437,76562,33.7500,-84.2995,86
58,03307,"Loudon, NH 03307",46,121473,81751,43.3215,-71.4415,92
59,44139,"Solon, OH 44139",32,79085,82103,41.3865,-81.4403,18
60,30224,"Griffin, GA 30224",43,29538,14850,33.1962,-84.2733,9
61,53526,"Cobb, WI 53526",45,137326,98141,42.9712,-90.3521,93
62,91901,"Alpine, CA 91901",32,176611,61085,32.7899,-116.7112,57
63,45306,"Botkins, OH 45306",39,125348,53006,40.4537,-84.1836,21
64,40460,"Orlando, KY 40460",35,126675,57994,37.3991,-84.2268,61
65,43759,"Morristown, OH 43759",35,33049,16847,40.0633,-81.0744,10
66,91730,"Rancho Cucamonga, CA 91730",42,133603,67160,34.0994,-117.5763,69
67,12051,"Coxsackie, NY 12051",41,184057,77073,42.3485,-73.8461,5
68,14043,"Depew, NY 14043",33,167939,62204,42.8990,-78.7080,28
69,03585,"Lisbon, NH 03585",34,84043,79654,44.2138,-71.8900,85
70,30564,"Murrayville, GA 30564",36,45769,10807,34.4726,-83.8972,6
71,36630,"Mobile, AL 36630",38,72737,68763,30.68,-88.04,2
72,33154,"Miami Beach, FL 33154",39,82628,90470,25.8966,-80.1313,77
73,88531,"El Paso, TX 88531",37,169916,67950,31.7588,-106.4866,20
74,75206,"Dallas, TX 75206",32,185782,58109,32.8335,-96.7717,98
75,11957,"Orient, NY 11957",37,44679,17441,41.1503,-72.2406,2
76,16223,"Distant, PA 16223",45,84688,64089,40.9540,-79.3758,69
77,61250,"Erie, IL 61250",42,17192,26064,41.6607,-90.0857,71
78,54812,"Barron, WI 54812",46,210288,42249,45.4127,-91.8840,95
79,06725,"Waterbury, CT 06725",33,199269,68880,41.5584,-73.0516,92
80,94585,"Suisun City, CA 94585",43,32501,14768,38.1556,-121.9451,4
81,22719,"Etlan, VA 22719",35,114299,72055,38.5095,-78.2643,46
82,33304,"Fort Lauderdale, FL 33304",36,182848,55101,26.1377,-80.1230,5
83,20218,"Washington, DC 20218",36,188066,90060,38.8951,-77.0369,80
84,93386,"Bakersfield, CA 93386",45,104564,42444,35.3736,-119.0176,71
85,76462,"Lipan, TX 76462",45,31690,14361,32.5279,-98.0166,6
86,58079,"Wheatland, ND 58079",41,73003,78170,46.8543,-97.3458,3
87,25396,"Charleston, WV 25396",42,90562,85559,38.3494,-81.6329,52
88,85349,"San Luis, AZ 85349",35,146772,66540,32.4943,-114.7833,20
89,30324,"Atlanta, GA 30324",44,118707,51796,33.8198,-84.3602,83
90,27562,"New Hill, NC 27562",35,49130,12871,35.6415,-78.9672,7
91,19193,"Philadelphia, PA 19193",38,107753,75102,39.9525,-75.1645,51
92,79041,"Hale Center, TX 79041",34,189346,83615,34.0795,-101.9271,78
93,76691,"West, TX 76691",32,119822,79281,31.7801,-97.1005,96
94,80544,"Niwot, CO 80544",36,120592,57792,40.1039,-105.1704,30
95,68627,"Cedar Rapids, NE 68627",32,31302,15505,41.5456,-98.1762,4
96,83403,"Idaho Falls, ID 83403",37,209674,60018,43.4667,-112.0335,19
97,39213,"Jackson, MS 39213",41,176720,92761,32.4075,-90.2167,49
98,38652,"New Albany, MS 38652",41,192175,92398,34.4893,-88.9908,65
99,93216,"Delano, CA 93216",44,201335,72356,35.7719,-119.2699,13
100,57350,"Huron, SD 57350",40,40775,18511,44.3792,-98.1758,8
101,51055,"Sloan, IA 51055",41,133093,87504,42.2145,-96.2427,2
102,80476,"Silver Plume, CO 80476",41,98832,84045,39.6959,-105.7446,45
103,66056,"Mound City, KS 66056",46,161529,84793,38.1550,-94.8603,54
104,65239,"Cairo, MO 65239",36,161384,99394,39.5233,-92.4176,84
105,71670,"Tillar, AR 71670",41,47391,12345,33.6972,-91.5015,5
106,55305,"Hopkins, MN 55305",37,86024,80375,44.9520,-93.4361,22
107,46501,"Argos, IN 46501",38,80685,79790,41.2302,-86.2501,24
108,25356,"Charleston, WV 25356",35,191823,83406,38.3494,-81.6329,32
109,37332,"Evensville, TN 37332",38,73150,75383,35.5920,-84.9335,52
110,48374,"Novi, MI 48374",41,26608,12888,42.4695,-83.5244,2
111,74447,"Okmulgee, OK 74447",46,206865,60358,35.6463,-96.0328,57
112,43080,"Utica, OH 43080",39,73047,73142,40.2389,-82.4107,25
113,47320,"Albany, IN 47320",35,93591,74794,40.2693,-85.2631,75
114,80742,"New Raymer, CO 80742",42,87638,97592,40.7620,-103.8489,24
115,19107,"Philadelphia, PA 19107",37,47138,18493,39.9519,-75.1587,5
116,13696,"West Stockholm, NY 13696",32,62926,90000,44.7340,-74.9159,44
117,85237,"Kearny, AZ 85237",39,190279,94593,33.09,-110.97,74
118,58109,"Fargo, ND 58109",44,147375,99513,46.8774,-96.7895,73
119,33165,"Miami, FL 33165",38,148045,77733,25.7349,-80.3595,91
120,56543,"Foxhome, MN 56543",41,43850,10720,46.2387,-96.3263,4
121,01944,"Manchester, MA 01944",44,167250,97409,42.5795,-70.7651,4
122,39066,"Edwards, MS 39066",37,200859,69364,32.3034,-90.5927,3
123,46017,"Anderson, IN 46017",44,84740,56057,40.0702,-85.6050,21
124,12230,"Albany, NY 12230",45,82799,87090,42.6525,-73.7567,11
125,55807,"Duluth, MN 55807",46,25792,11099,46.7362,-92.1731,10
126,60303,"Oak Park, IL 60303",37,184995,81577,41.8851,-87.7847,13
127,00969,"Guaynabo, PR 00969",39,202099,90861,18.3310,-66.1123,85
128,82414,"Cody, WY 82414",40,67509,76991,44.4022,-109.5310,58
129,18337,"Milford, PA 18337",38,164496,86016,41.3383,-74.8861,56
130,80134,"Parker, CO 80134",40,27165,11017,39.4894,-104.7688,7
131,96039,"Happy Camp, CA 96039",45,73803,93271,41.8353,-123.4069,18
132,61855,"Milmine, IL 61855",42,163122,46642,39.9234,-88.6599,60
133,40374,"Sharpsburg, KY 40374",44,147223,71574,38.2218,-83.9104,88
134,66541,"Summerfield, KS 66541",32,87188,91901,39.9576,-96.3627,62
135,16922,"Galeton, PA 16922",42,41231,13882,41.6910,-77.7437,5
136,06793,"Washington, CT 06793",40,202752,77825,41.6393,-73.2962,62
137,33762,"Clearwater, FL 33762",39,100626,47643,27.8982,-82.6713,14
138,48633,"Lake George, MI 48633",35,94230,81829,43.9538,-84.9337,4
139,28227,"Charlotte, NC 28227",43,70194,67699,35.1854,-80.6493,32
140,85130,"Casa Grande, AZ 85130",40,27698,10201,32.8965,-111.7564,2
141,59452,"Hobson, MT 59452",45,108444,98610,46.8647,-110.1994,51
142,76233,"Collinsville, TX 76233",42,171019,83542,33.5291,-96.8891,72
143,17210,"Amberson, PA 17210",45,187491,50679,40.1703,-77.6777,76
144,53527,"Cottage Grove, WI 53527",43,186863,90374,43.0711,-89.1885,87
145,20901,"Silver Spring, MD 20901",43,44539,15273,39.0249,-77.0083,6
146,56046,"Hope, MN 56046",46,166071,55484,43.9786,-93.3462,50
147,32164,"Palm Coast, FL 32164",33,142389,96456,29.4803,-81.2140,48
148,83839,"Kingston, ID 83839",43,190939,96363,47.5827,-116.2517,22
149,58571,"Stanton, ND 58571",32,130985,97241,47.2960,-101.3959,97
150,58760,"Maxbass, ND 58760",36,29372,18212,48.6903,-101.2564,5
151,44022,"Chagrin Falls, OH 44022",36,79677,76224,41.4513,-81.3933,60
152,78116,"Gillett, TX 78116",40,174166,61581,29.0798,-97.7749,40
153,25909,"Prosperity, WV 25909",33,145517,65344,37.8377,-81.1976,80
154,50264,"Weldon, IA 50264",36,19034,22542,40.8922,-93.7170,66
155,69148,"Lisco, NE 69148",42,29698,15381,41.6055,-102.5675,9
156,48154,"Livonia, MI 48154",32,199152,63379,42.3976,-83.3733,72
157,03037,"Deerfield, NH 03037",40,192056,48957,43.1479,-71.2487,18
158,83845,"Moyie Springs, ID 83845",37,208337,58604,48.8103,-116.2040,80
159,49873,"Perronville, MI 49873",39,187742,90720,45.8659,-87.5132,11
160,48106,"Ann Arbor, MI 48106",42,30408,17330,42.2836,-83.7455,4
161,88029,"Columbus, NM 88029",32,183155,49336,31.9136,-107.7568,72
162,28139,"Rutherfordton, NC 28139",38,132526,87901,35.3347,-82.0360,27
163,66966,"Scandia, KS 66966",45,152259,87829,39.7408,-97.7357,27
164,74301,"Vinita, OK 74301",44,84909,55751,36.6806,-95.2158,79
165,06131,"Newington, CT 06131",44,48757,10079,41.7638,-72.6859,8
166,14864,"Millport, NY 14864",34,186750,73840,42.2799,-76.8445,34
167,99006,"Deer Park, WA 99006",41,211222,98909,47.9680,-117.5330,65
168,12786,"White Lake, NY 12786",34,208370,87401,41.6619,-74.8553,64
169,01450,"Groton, MA 01450",41,87116,54614,42.6162,-71.5768,55
170,53706,"Madison, WI 53706",32,42307,19538,43.0748,-89.4112,6
171,66048,"Leavenworth, KS 66048",40,114220,74800,39.2956,-94.9844,75
172,92403,"San Bernardino, CA 92403",38,114416,82245,34.1104,-117.3118,81
173,10469,"Bronx, NY 10469",34,135912,68888,40.8700,-73.8441,98
174,58330,"Edmore, ND 58330",38,185010,91054,48.4489,-98.4674,11
175,19075,"Oreland, PA 19075",34,43067,19133,40.1129,-75.1874,7
176,70372,"Labadieville, LA 70372",33,197818,99863,29.8123,-90.9609,63
177,53959,"Reedsburg, WI 53959",46,61702,94520,43.5418,-89.9703,97
178,54115,"De Pere, WI 54115",39,189550,84001,44.4097,-88.0983,27
179,24571,"Lynch Station, VA 24571",46,87930,74861,37.1365,-79.3654,65
180,94530,"El Cerrito, CA 94530",33,49263,13101,37.9211,-122.2890,3
181,76162,"Fort Worth, TX 76162",36,109451,81719,32.7254,-97.3208,2
182,85029,"Phoenix, AZ 85029",33,120168,94518,33.5946,-112.1074,75
183,59105,"Billings, MT 59105",43,60731,71910,45.8703,-108.4919,96
184,18929,"Jamison, PA 18929",43,174234,80828,40.2571,-75.0766,31
185,34295,"Englewood, FL 34295",34,43005,15992,26.9618,-82.3526,5
186,49241,"Hanover, MI 49241",33,94202,46461,42.1020,-84.6042,53
187,50321,"Des Moines, IA 50321",39,79761,86336,41.5471,-93.6732,47
188,26267,"Ellamore, WV 26267",42,178360,95391,38.9364,-80.0812,98
189,22304,"Alexandria, VA 22304",46,187558,82218,38.8122,-77.1264,94
190,98061,"Rollingbay, WA 98061",34,30920,10791,47.6559,-122.5094,6
191,05746,"Gaysville, VT 05746",35,85532,45501,43.7106,-72.7547,80
192,20814,"Bethesda, MD 20814",34,176032,97127,39.0048,-77.1025,40
193,55615,"Tofte, MN 55615",41,100239,87915,47.7627,-90.8306,24
194,84244,"Ogden, UT 84244",35,176541,66318,41.2234,-111.9731,63
195,55604,"Grand Marais, MN 55604",39,47279,13260,47.9763,-90.4135,1
196,29697,"Williamston, SC 29697",44,71264,97061,34.6413,-82.5449,68
197,63632,"Cascade, MO 63632",39,90721,86422,37.2995,-90.2694,67
198,84513,"Castle Dale, UT 84513",41,169719,53274,39.2232,-110.9536,17
199,11726,"Copiague, NY 11726",37,199991,52097,40.6827,-73.3942,99
200,05866,"Sheffield, VT 05866",39,31391,13736,44.6371,-72.1343,4
201,30272,"Red Oak, GA 30272",44,99208,97384,33.6246,-84.4987,70
202,20241,"Washington, DC 20241",46,202636,73994,38.8951,-77.0369,15
203,32187,"San Mateo, FL 32187",43,194245,90060,29.5656,-81.5713,69
204,51433,"Auburn, IA 51433",44,122712,74296,42.2893,-94.8885,47
205,07033,"Kenilworth, NJ 07033",43,49991,10186,40.6775,-74.2915,10
206,80204,"Denver, CO 80204",38,115244,90723,39.7377,-105.0203,96
207,02459,"Newton Center, MA 02459",46,145104,44115,42.3122,-71.1947,24
208,95207,"Stockton, CA 95207",38,185940,44282,38.0003,-121.3247,71
209,71854,"Texarkana, AR 71854",43,93159,45024,33.4628,-93.8832,50
210,44211,"Brady Lake, OH 44211",33,31470,13539,41.1595,-81.3173,6
211,47994,"Wingate, IN 47994",36,202960,77251,40.1662,-87.0550,22
212,49251,"Leslie, MI 49251",32,214488,84841,42.4700,-84.4118,7
213,15347,"Meadow Lands, PA 15347",42,116243,62249,40.2141,-80.2287,44
214,61831,"Collison, IL 61831",44,102478,93947,40.2332,-87.8037,12
215,66675,"Topeka, KS 66675",35,35988,13724,39.0486,-95.6778,5
216,98384,"South Colby, WA 98384",44,101469,51374,47.5225,-122.5361,17
217,22191,"Woodbridge, VA 22191",35,88260,50356,38.6233,-77.2636,85
218,43437,"Jerry City, OH 43437",46,74703,98530,41.2476,-83.6012,94
219,71860,"Stamps, AR 71860",45,61323,60675,33.3140,-93.5249,32
220,91328,"Northridge, CA 91328",39,46055,12127,34.2284,-118.5356,6
221,15745,"Heilwood, PA 15745",37,199816,73993,40.6269,-78.9218,1
222,96150,"South Lake Tahoe, CA 96150",39,106926,47915,38.8851,-120.0424,25
223,92329,"Phelan, CA 92329",40,67332,49226,34.4262,-117.5716,22
224,49688,"Tustin, MI 49688",40,173794,65068,44.1251,-85.4451,36
225,58535,"Flasher, ND 58535",46,36289,19935,46.5016,-101.2067,3
226,26587,"Rachel, WV 26587",35,155564,71043,39.5255,-80.2937,4
227,09263,"Apo, AE 09263",42,176617,71268,0.0000,0.0000,26
228,01532,"Northborough, MA 01532",37,159898,69906,42.3301,-71.6352,26
229,35119,"New Castle, AL 35119",39,202001,91802,33.6470,-86.7708,32
230,18611,"Cambra, PA 18611",42,49873,18028,41.1927,-76.2998,8
231,45724,"Cutler, OH 45724",39,22259,33068,39.3794,-81.7737,47
232,24846,"Isaban, WV 24846",42,84130,80792,37.5323,-81.8828,84
233,62973,"Perks, IL 62973",41,136287,46116,37.3099,-89.0805,15
234,54628,"Ferryville, WI 54628",46,132972,73431,43.4207,-91.0310,81
235,08853,"Neshanic Station, NJ 08853",44,49568,11385,40.5291,-74.7404,7
236,92402,"San Bernardino, CA 92402",39,124498,60692,34.1216,-117.3022,48
237,13486,"Westernville, NY 13486",32,107677,61822,43.3507,-75.3389,18
238,59865,"Saint Ignatius, MT 59865",38,115612,82380,47.3351,-114.0319,74
239,50680,"Wellsburg, IA 50680",44,77790,69689,42.4523,-92.9150,23
240,58063,"Oriska, ND 58063",39,40532,14538,46.9641,-97.8185,4
241,37347,"Jasper, TN 37347",42,212967,73855,35.0608,-85.6238,44
242,84621,"Axtell, UT 84621",32,196629,77407,39.0832,-111.9029,12
243,51465,"Vail, IA 51465",42,166394,59018,42.0920,-95.2034,98
244,67584,"Utica, KS 67584",36,200740,77079,38.6249,-100.1379,16
245,77265,"Houston, TX 77265",35,30000,13975,29.7632,-95.3633,10
246,25202,"Tornado, WV 25202",36,134076,60725,38.3130,-81.8698,45
247,32322,"Carrabelle, FL 32322",37,63795,63739,29.8950,-84.6632,35
248,79848,"Sanderson, TX 79848",33,157181,96512,30.1221,-102.3984,33
249,59114,"Billings, MT 59114",32,103720,69957,45.7834,-108.5003,3
250,97138,"Seaside, OR 97138",44,39935,11769,45.9582,-123.6762,7
251,96033,"French Gulch, CA 96033",44,210029,46122,40.7100,-122.5828,91
252,61344,"Mineral, IL 61344",40,136209,87337,41.4039,-89.8304,24
253,22906,"Charlottesville, VA 22906",37,158610,50509,38.0295,-78.4769,47
254,07438,"Oak Ridge, NJ 07438",32,78355,57512,41.0376,-74.5178,94
255,05760,"Orwell, VT 05760",46,25754,14165,43.7878,-73.2989,3
256,49645,"Kaleva, MI 49645",39,185518,80148,44.3788,-86.0510,44
257,44306,"Akron, OH 44306",40,100394,43840,41.0407,-81.4797,55
258,49969,"Watersmeet, MI 49969",44,166407,88746,46.2154,-89.2407,52
259,47519,"Cannelburg, IN 47519",37,138928,76614,38.6968,-86.9708,47
260,07452,"Glen Rock, NJ 07452",44,33476,19992,40.9606,-74.1232,6
261,09378,"Apo, AE 09378",45,182963,52773,0.0000,0.0000,79
262,31038,"Hillsboro, GA 31038",36,112009,76136,33.1268,-83.6502,85
263,13041,"Clay, NY 13041",43,178356,45002,43.1952,-76.2023,17
264,77350,"Leggett, TX 77350",36,111823,66287,30.8176,-94.8703,56
265,66948,"Jamestown, KS 66948",45,46648,19468,39.6101,-97.8756,4
266,61720,"Anchor, IL 61720",38,183984,86645,40.5294,-88.5169,93
267,29617,"Greenville, SC 29617",36,110291,81059,34.9061,-82.4658,66
268,19430,"Creamery, PA 19430",37,115274,62179,40.2203,-75.4164,33
269,73702,"Enid, OK 73702",44,118949,53034,36.3957,-97.8784,21
270,09596,"Fpo, AE 09596",42,30822,10806,0.0000,0.0000,7
271,18360,"Stroudsburg, PA 18360",38,170988,62072,40.9587,-75.2992,76
272,08270,"Woodbine, NJ 08270",36,71685,53841,39.2836,-74.7872,19
273,44114,"Cleveland, OH 44114",45,101057,91893,41.5177,-81.6752,34
274,23519,"Norfolk, VA 23519",44,129494,80597,36.8503,-76.2873,94
275,36031,"Fort Davis, AL 36031",41,35521,11868,32.2295,-85.7337,5
276,20711,"Lothian, MD 20711",40,169405,97156,38.8009,-76.6447,69
277,79846,"Redford, TX 79846",43,163019,65575,29.4706,-104.0044,43
278,99950,"Ketchikan, AK 99950",39,144619,74582,55.8159,-132.9799,12
279,80745,"Padroni, CO 80745",36,195727,97520,40.8738,-103.3717,7
280,97602,"Klamath Falls, OR 97602",40,28986,11978,42.2251,-121.7796,6
281,76234,"Decatur, TX 76234",44,165358,55617,33.2808,-97.5186,87
282,05765,"Proctor, VT 05765",38,119035,41466,43.6496,-73.0327,5
283,97384,"Mehama, OR 97384",32,158803,43426,44.7905,-122.6181,4
284,67452,"Hunter, KS 67452",43,154421,79640,39.2631,-98.4338,54
285,01001,"Agawam, MA 01001",46,36069,16635,42.0658,-72.6209,4
286,95983,"Taylorsville, CA 95983",34,115088,94163,40.0451,-120.7410,41
287,14627,"Rochester, NY 14627",43,209290,72926,43.1281,-77.6281,39
288,68822,"Broken Bow, NE 68822",38,178647,98123,41.4441,-99.5684,3
289,37912,"Knoxville, TN 37912",39,138432,46783,36.0091,-83.9896,58
290,53154,"Oak Creek, WI 53154",32,34519,18577,42.8863,-87.8886,7
291,31524,"Brunswick, GA 31524",33,122921,92921,31.1497,-81.4917,18
292,72034,"Conway, AR 72034",39,125658,93455,35.0472,-92.4868,5
293,38175,"Memphis, TN 38175",43,150769,75623,35.1497,-90.0487,50
294,28088,"Landis, NC 28088",41,67080,41517,35.5457,-80.6145,40
295,68440,"Steele City, NE 68440",37,35569,15850,40.0450,-96.9829,3
296,94528,"Diablo, CA 94528",43,191205,52983,37.8414,-121.9628,71
297,94539,"Fremont, CA 94539",46,63275,56304,37.5288,-121.9103,71
298,28756,"Mill Spring, NC 28756",33,105304,47525,35.3359,-82.1642,100
299,18916,"Danboro, PA 18916",41,196879,86723,40.3547,-75.1334,81
300,42567,"Eubank, KY 42567",33,32804,17052,37.2612,-84.6120,1
301,08343,"Monroeville, NJ 08343",34,120500,60837,39.6446,-75.1759,48
302,14606,"Rochester, NY 14606",46,138912,95311,43.1719,-77.6923,34
303,47224,"Canaan, IN 47224",33,164630,64063,38.8834,-85.2249,29
304,21265,"Baltimore, MD 21265",38,151464,67517,39.29,-76.6,79
305,77833,"Brenham, TX 77833",46,46978,11447,30.2022,-96.3707,4
306,47740,"Evansville, IN 47740",35,101438,50012,37.9744,-87.5555,11
307,57730,"Custer, SD 57730",37,80700,58508,43.7084,-103.7452,46
308,32820,"Orlando, FL 32820",46,6037,34283,28.5744,-81.0975,43
309,19185,"Philadelphia, PA 19185",41,200040,71881,39.9525,-75.1645,9
310,68417,"Otoe, NE 68417",42,26739,11443,40.7406,-96.0927,7
311,34284,"Venice, FL 34284",44,166661,57487,27.0994,-82.4545,48
312,37012,"Alexandria, TN 37012",35,148763,58755,36.0651,-85.9961,18
313,15288,"Pittsburgh, PA 15288",39,75837,73455,40.44,-79.94,77
314,85074,"Phoenix, AZ 85074",37,169140,96515,33.4486,-112.0733,58
315,85924,"Concho, AZ 85924",36,29183,14480,34.4258,-109.6013,1
316,20726,"Laurel, MD 20726",40,210830,87166,39.0995,-76.8486,70
317,21122,"Pasadena, MD 21122",45,214365,94942,39.1253,-76.5121,17
318,20392,"Washington, DC 20392",41,198910,97085,38.8951,-77.0369,16
319,09371,"Apo, AE 09371",36,67353,58811,0,0,95
320,26337,"Cairo, WV 26337",45,31556,10773,39.2402,-81.1554,3
321,49007,"Kalamazoo, MI 49007",41,182818,84196,42.3009,-85.5941,96
322,97641,"Christmas Valley, OR 97641",39,129795,62990,43.2516,-120.5960,77
323,98668,"Vancouver, WA 98668",35,167400,92878,45.6387,-122.6606,38
324,51520,"Arion, IA 51520",42,120965,73399,41.9647,-95.4549,5
325,19941,"Ellendale, DE 19941",32,27442,16621,38.7917,-75.4124,8
326,24715,"Bramwell, WV 24715",43,133283,63670,37.3378,-81.3320,25
327,78613,"Cedar Park, TX 78613",41,173690,68013,30.4980,-97.8157,46
328,46249,"Indianapolis, IN 46249",38,66235,80666,39.7683,-86.1582,28
329,72840,"Hartman, AR 72840",32,180671,43127,35.4699,-93.6085,87
330,49967,"Trout Creek, MI 49967",40,49587,18018,46.5237,-89.0305,7
331,92546,"Hemet, CA 92546",43,124432,65726,33.7476,-116.9713,1
332,12168,"Stephentown, NY 12168",40,115458,50762,42.5588,-73.3794,68
333,55977,"Taopi, MN 55977",36,202268,88000,43.5580,-92.6289,72
334,24944,"Green Bank, WV 24944",43,176311,97441,38.4017,-79.7692,11
335,68448,"Talmage, NE 68448",33,32653,16033,40.5665,-96.0097,9
336,92195,"San Diego, CA 92195",37,187435,86846,32.7154,-117.1565,42
337,58126,"Fargo, ND 58126",36,191153,83434,46.8774,-96.7895,16
338,07303,"Jersey City, NJ 07303",41,166158,76527,40.7282,-74.0784,55
339,85712,"Tucson, AZ 85712",46,137363,43401,32.2548,-110.8836,10
340,96206,"Apo, AP 96206",46,42130,16251,0.0000,0.0000,6
341,21619,"Chester, MD 21619",41,73283,59841,38.9496,-76.2775,50
342,58484,"Sutton, ND 58484",34,194395,84132,47.3847,-98.4569,74
343,76711,"Waco, TX 76711",32,98372,88725,31.5163,-97.1548,28
344,87325,"Tohatchi, NM 87325",37,213741,60468,35.8298,-108.6579,66
345,65334,"Hughesville, MO 65334",44,30519,11499,38.8495,-93.2210,8
346,61016,"Cherry Valley, IL 61016",40,195019,83635,42.2026,-88.9621,100
347,77404,"Bay City, TX 77404",46,183657,80621,28.9825,-95.9693,71
348,61745,"Heyworth, IL 61745",38,160300,69906,40.3416,-88.9849,64
349,99505,"Jber, AK 99505",37,64016,64266,61.2746,-149.6434,42
350,78573,"Mission, TX 78573",37,31177,16985,26.3003,-98.2976,3
351,67107,"Moundridge, KS 67107",41,105611,70826,38.1885,-97.5188,9
352,94011,"Burlingame, CA 94011",41,160755,97358,37.5844,-122.3650,21
353,08068,"Pemberton, NJ 08068",38,64222,54108,39.9568,-74.6534,42
354,17520,"East Petersburg, PA 17520",42,125426,46462,40.0963,-76.3510,88
355,79835,"Canutillo, TX 79835",38,38080,15450,31.9399,-106.5624,6
356,13409,"Munnsville, NY 13409",43,141307,48363,42.9654,-75.5865,8
357,12184,"Valatie, NY 12184",35,95994,73448,42.4094,-73.6561,99
358,33567,"Plant City, FL 33567",39,63220,79695,27.9178,-82.1246,22
359,56115,"Balaton, MN 56115",40,75035,74415,44.2107,-95.8860,65
